관광지명,Group
1100고지(휴게소),52
1112도로,52
5.16도로숲터널,52
minagrooming(미나그루밍),51
가마오름 진지동굴,52
강병대교회,52
개떼목장,51
곤물,52
공천포,52
곽지패총,52
광령귤나무,52
구엄리돌염전,52
구엄포구,52
굴동포구,52
귀덕연대,52
귀빈사,52
금능이큐스테이호텔,51
금능제면소,51
금능포구,52
금덕무환자나무및팽나무군락,52
금성포구,52
금요일의아침조금,51
김녕금속공예벽화마을,52
김녕사굴,52
김녕항,52
김만덕객주,51
난산리다방,51
남문지못,52
남원항 (남원포구),52
너븐숭이 4.3기념관,52
눈물의십자가,52
다끄네포구(용담포구),52
단산과 방사탑,52
달중이네펫호텔,51
당케산물(당케포구),52
대수포구,52
대정향교,52
대평포구,53
대포포구,52
더칠린,51
돈블링65,51
동일리포구,52
돼지굽는정원,51
뒹굴개,51
디어마이프렌즈,51
라이프동물병원,51
라임오렌지카페앤플라워,51
루나폴,52
르카페하도,51
리틀화이트,51
마방목지,52
마음에온,51
만벵듸 공동장지,52
말이,51
명리동식당구좌직영점,51
명월팽나무군락,52
모몽더티하우스,51
몽몽까까,51
무등이왓터,52
무릉자전거도로(환상자전거길 3구간),52
배롱정원,51
백제사,52
백조일손지묘(백조일손지지),52
법환포구,52
별도연대,52
별도포구,52
별방진,52
병악현무암지대,52
봉구의간식,51
봉구의간식제주롯데마트점,51
북촌리 4.3길,52
북촌포구,52
북촌환해장성,52
불탑사 (5층석탑),52
비양도 연평리 야영지,52
빌레못동굴,52
사계항,52
산방굴사,52
산천단,52
삼사석,52
삼성혈,52
삼화포구,52
삼화훈동물병원,51
상추자포구,52
상효원,52
서귀본향당,52
서귀포농업기술센터 제주농업생태원,52
성산마씸,51
성산초등학교 서청특별중대 주둔지,52
성산포항,52
성산항,52
성읍민속마을,52
세화항,52
소노벨제주,51
소노캄제주,51
소소밀,51
솔동산8경,52
송계순집터,52
송당본향당,52
송악산 진지동굴,52
수월이못,52
쉐프1192레스토랑,51
쉼멍스테이,51
스마일러펫,51
슬로보트,51
시루네펜션,51
신도포구,52
신산환해장성,52
신양포구,52
신창리포구,52
신천리 벽화마을,52
신풍리 밭담길,52
싱계물 공원,52
아라i동물병원,51
아스쿰,51
아우아우,51
아지트포독,51
알뜨르비행장,52
애월연대,52
애월환해장성,52
양가형제,51
양가형제노형,51
어반정글 부얀트무드,51
어반정글그레이밤부,51
에퀴녹스 드 협재,51
엠버퓨어힐호텔&리조트,51
연대포구,51
연북정,52
영등할망 신화공원,52
옛마을펜션,51
오롯바이에퀴녹스,51
오름터 민속마을,52
오조포구,52
온평리 포구,52
온평리 환해장성,52
옵데가바이에퀴녹스,51
와흘본향당,52
용담 1동 벽화거리,52
용수항,53
웁스마이독,51
월령포구,52
월평포구,52
위미항,52
이도씨동물의료센터,51
이루다동물병원,51
인스밀,51
인터포레스트,51
일이오구스튜디오,51
자리왓,52
전농로 서사라문화거리,52
정의현 일관헌,52
정주항,52
제이펜션,51
제주고산리유적,52
제주만주,51
제주목관아,52
제주민속촌,51
제주불교성지 순례길 절로 가는길 - 인욕의 길,52
제주불교성지 순례길 절로 가는길 - 정진의 길,52
제주불교성지 순례길 절로 가는길 - 지계의 길,52
제주블루앤씨펜션,51
제주성지,52
제주스럽닭서귀포올레점,51
제주애빛나다,51
제주애설레다,51
제주에인감귤밭,51
제주인디,52
제주펫스쿨,51
제주향교,52
조은동물병원,51
조천만세동산,52
존자암지,52
짚불도,51
차귀도,52
채우리네펜션,51
천제연폭포 & 제주4.3중문면희생자위령비,52
최영장군사당,52
추사적거지,52
친봉산장,51
카페달보름,51
카페말로,51
카페사분의이,51
카페오늘의바다,51
캣츠앤독스,51
쿠키네,51
쿠킹독,51
큰넓궤,52
탐나라공화국(제주남이섬),52
튼튼동물병원,51
판포포구,52
펫마마스푸드,51
펫소풍,51
평화통일 불사리탑,52
플라이오조,51
하늘오름펜션,51
하멜기념비,52
하예포구(예래포구),52
한동환해장성,52
한라동물종합병원,51
한라의향기,52
한림동물병원,51
한림항,52
항파두리항몽유적지,52
해맑은동물병원,51
협재이길,51
협재해물라면오빠네,51
형제해안도로,52
호루의한끼,51
혼인지,52
황금빅버거,51
황우지해안 열두굴,52
4·3해원방사탑,52
9연대 본부 옛터,52
