관광지명,Group1,Group1_tag,group1_1,group1_1_tag,group1_2,group1_2_tag
1112도로,1,"['자연', '경관']",0.0,,0.0,
minagrooming(미나그루밍),1,['동반'],0.0,,1.0,['동반']
가마오름,1,"['도보', '걷기', '자연', '등산', '경관', '오름']",1.0,"['걷기', '등산', '오름']",0.0,['오름']
가메오름,1,"['도보', '걷기', '자연', '등산', '경관', '오름', '맑음']",1.0,"['걷기', '등산', '오름']",0.0,"['맑음', '오름']"
가문이오름(감은이오름),1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",1.0,"['가을', '오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
가세오름,1,"['도보', '걷기', '자연', '등산', '경관', '오름']",1.0,"['걷기', '등산', '오름']",0.0,['오름']
각시바우오름,1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
감수굴 밭담길,1,"['도보', '걷기', '자연', '등산', '경관', '맑음']",1.0,"['걷기', '등산']",0.0,['맑음']
개오름,1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
개오리오름,1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
거린오름 (북오름),1,"['도보', '걷기', '자연', '등산', '경관', '오름']",1.0,"['걷기', '등산', '오름']",0.0,['오름']
거문오름(UNESCO 세계자연유산),1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
거슨새미오름,1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",1.0,"['가을', '오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
거친오름,1,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']"
걸서악오름,1,"['도보', '자연', '경관', '오름', '친구', '맑음']",0.0,"['오름', '친구']",1.0,"['맑음', '오름', '친구']"
고근산(고공산),1,"['걷기', '자연', '등산', '경관', '오름', '맑음']",1.0,"['걷기', '등산', '오름']",0.0,"['맑음', '오름']"
"고내봉(고내오름,고니오름,망오름)",1,"['도보', '걷기', '자연', '등산', '경관', '오름', '맑음', '봄']",1.0,"['걷기', '등산', '봄', '오름']",0.0,"['맑음', '오름']"
고려민박,1,"['동반', '바비큐', '와이파이존']",0.0,,1.0,['동반']
