관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
(주)제주해양레저 투명카약,1,"['체험', '레저', '맑음', '커플', '친구', '수상', '해변', '물놀이']",0.0,"['친구', '커플', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '해변', '커플', '물놀이', '친구']",0.0,"['커플', '레저', '친구']"
9.81 파크,1,"['관광', '커플', '친구', '관광지', '동반']",1.0,"['관광', '관광지', '친구', '커플']",0.0,"['커플', '친구']",1.0,"['동반', '커플', '관광', '친구']"
minagrooming(미나그루밍),1,['동반'],0.0,,0.0,,1.0,['동반']
감귤상웨빵 체험,1,"['체험', '관광', '커플', '친구', '관광지']",1.0,"['관광', '관광지', '친구', '커플']",0.0,"['커플', '친구']",0.0,"['커플', '관광', '친구']"
강정천유원지,1,"['체험', '레저', '맑음', '수상', '물놀이', '여름']",0.0,"['레저', '맑음']",1.0,"['레저', '맑음', '수상', '여름', '물놀이']",0.0,['레저']
개떼목장,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
개미남,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
개인공간,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
걸매예술마을,1,"['관광', '마을', '커플', '산책']",1.0,"['관광', '커플', '마을', '산책']",0.0,['커플'],0.0,"['커플', '관광']"
고성2119펜션위플레이독,1,"['물놀이', '동반']",0.0,,1.0,['물놀이'],1.0,['동반']
골프탕탕,1,"['체험', '레저', '커플', '친구']",1.0,"['친구', '커플', '레저']",1.0,"['레저', '커플', '친구']",1.0,"['커플', '레저', '친구']"
곽지해수욕장,1,"['체험', '레저', '관광', '어린이', '맑음', '수상', '관광지', '해변', '물놀이', '여름', '동반']",0.0,"['관광', '어린이', '관광지', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '여름', '해변', '물놀이', '어린이']",0.0,"['동반', '관광', '레저']"
곽지해수욕장야영장,1,"['체험', '레저', '어린이', '맑음', '수상', '해변', '물놀이', '캠핑']",0.0,"['어린이', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '해변', '물놀이', '캠핑', '어린이']",0.0,"['캠핑', '레저']"
귤밭76번지,1,"['체험', '관광', '어린이', '맑음']",1.0,"['관광', '어린이', '맑음']",0.0,"['맑음', '어린이']",0.0,['관광']
귤빛캠핑장,1,"['체험', '레저', '관광', '맑음', '커플', '관광지', '여름', '동반', '캠핑']",1.0,"['관광', '관광지', '커플', '레저', '맑음']",1.0,"['레저', '맑음', '여름', '커플', '캠핑']",1.0,"['동반', '캠핑', '커플', '관광', '레저']"
그랑블루 요트투어,1,"['체험', '레저', '커플', '수상', '여름']",0.0,"['커플', '레저']",1.0,"['레저', '수상', '여름', '커플']",0.0,"['커플', '레저']"
그랑블루호(선상낚시),1,"['체험', '레저', '커플', '수상']",0.0,"['커플', '레저']",1.0,"['레저', '수상', '커플']",0.0,"['커플', '레저']"
그루밍제주,1,"['애견', '동반']",0.0,,0.0,,1.0,"['동반', '애견']"
그제바람 윈드서핑패들보드,1,"['체험', '레저', '관광', '수상', '관광지']",1.0,"['관광', '관광지', '레저']",0.0,"['레저', '수상']",0.0,"['관광', '레저']"
금능이큐스테이호텔,1,['동반'],0.0,,0.0,,1.0,['동반']
금능해수욕장,1,"['체험', '레저', '관광', '어린이', '맑음', '수상', '관광지', '해변', '물놀이', '여름', '동반']",0.0,"['관광', '어린이', '관광지', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '여름', '해변', '물놀이', '어린이']",0.0,"['동반', '관광', '레저']"
금당목장ATV,1,"['체험', '관광', '맑음', '커플', '친구']",1.0,"['관광', '친구', '커플', '맑음']",0.0,"['맑음', '커플', '친구']",0.0,"['커플', '관광', '친구']"
김녕 청굴물,1,"['체험', '레저', '수상', '여름']",0.0,['레저'],1.0,"['레저', '수상', '여름']",0.0,['레저']
김녕요트투어,1,"['체험', '레저', '관광', '커플', '수상', '여름']",0.0,"['관광', '커플', '레저']",1.0,"['레저', '수상', '여름', '커플']",0.0,"['커플', '관광', '레저']"
김녕해수욕장,1,"['체험', '레저', '관광', '어린이', '맑음', '수상', '관광지', '해변', '물놀이', '여름', '동반']",0.0,"['관광', '어린이', '관광지', '레저', '맑음']",1.0,"['레저', '맑음', '수상', '여름', '해변', '물놀이', '어린이']",0.0,"['동반', '관광', '레저']"
김녕해수욕장야영장,1,"['체험', '레저', '어린이', '수상', '해변', '물놀이', '여름', '캠핑']",0.0,"['어린이', '레저']",1.0,"['레저', '수상', '여름', '해변', '물놀이', '캠핑', '어린이']",0.0,"['캠핑', '레저']"
