관광지명,Group1,Group1_tag,group1_1,group1_1_tag,group1_2,group1_2_tag,Group2,Group2_tag,group2_1,group2_1_tag,group2_2,group2_2_tag,Group3,Group3_tag,group3_1,group3_1_tag,group3_2,group3_2_tag,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag,Group5,Group5_tag,group5_1,group5_1_tag,group5_2,group5_2_tag
1112도로,1.0,"['자연', '경관']",0.0,,0.0,,1.0,"['경관', '자연']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['경관', '자연']",0.0,,1.0,"['경관', '자연']"
minagrooming(미나그루밍),1.0,['동반'],0.0,,1.0,['동반'],1.0,['동반'],1.0,['동반'],0.0,,1.0,['동반'],0.0,,0.0,,1.0,['동반'],0.0,,0.0,,1.0,['동반'],1.0,['동반'],1.0,['동반'],0.0,
가마오름,1.0,"['도보', '걷기', '자연', '등산', '경관', '오름']",1.0,"['걷기', '등산', '오름']",0.0,['오름'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
가메오름,1.0,"['도보', '걷기', '자연', '등산', '경관', '오름', '맑음']",1.0,"['걷기', '등산', '오름']",0.0,"['맑음', '오름']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
가문이오름(감은이오름),1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",1.0,"['가을', '오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
가세오름,1.0,"['도보', '걷기', '자연', '등산', '경관', '오름']",1.0,"['걷기', '등산', '오름']",0.0,['오름'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
각시바우오름,1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
감수굴 밭담길,1.0,"['도보', '걷기', '자연', '등산', '경관', '맑음']",1.0,"['걷기', '등산']",0.0,['맑음'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
개오름,1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
개오리오름,1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
거린오름 (북오름),1.0,"['도보', '걷기', '자연', '등산', '경관', '오름']",1.0,"['걷기', '등산', '오름']",0.0,['오름'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
거문오름(UNESCO 세계자연유산),1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
거슨새미오름,1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",1.0,"['가을', '오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
거친오름,1.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",0.0,"['오름', '친구', '커플']",1.0,"['맑음', '커플', '오름', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
걸서악오름,1.0,"['도보', '자연', '경관', '오름', '친구', '맑음']",0.0,"['오름', '친구']",1.0,"['맑음', '오름', '친구']",1.0,"['경관', '포토', '자연', '맑음', '스팟', '친구']",1.0,"['포토', '스팟', '맑음']",0.0,"['친구', '맑음']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
고근산(고공산),1.0,"['걷기', '자연', '등산', '경관', '오름', '맑음']",1.0,"['걷기', '등산', '오름']",0.0,"['맑음', '오름']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
"고내봉(고내오름,고니오름,망오름)",1.0,"['도보', '걷기', '자연', '등산', '경관', '오름', '맑음', '봄']",1.0,"['걷기', '등산', '봄', '오름']",0.0,"['맑음', '오름']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
고려민박,1.0,"['동반', '바비큐', '와이파이존']",0.0,,1.0,['동반'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
고살리숲길,1.0,"['도보', '걷기', '자연', '등산', '경관', '친구', '맑음']",1.0,"['걷기', '등산', '친구']",0.0,"['맑음', '친구']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
곶자왈,1.0,"['도보', '걷기', '자연', '등산', '경관', '친구', '봄', '가을']",1.0,"['걷기', '등산', '봄', '가을', '친구']",0.0,['친구'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
광령귤나무,1.0,"['자연', '경관']",0.0,,0.0,,1.0,"['경관', '자연']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['경관', '자연']",0.0,,1.0,"['경관', '자연']"
구좌해안로,1.0,"['걷기', '등산', '맑음']",1.0,"['걷기', '등산']",0.0,['맑음'],0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
