관광지명,group_1,group_1_tag,group_2,group_2_tag,group_3,group_3_tag,group_4,group_4_tag,group_5,group_5_tag,Group,group1,group2,group3,group4,group5
(주)제주해양레저 투명카약,3.0,"['친구', '맑음', '커플']",4.0,"['커플', '맑음', '친구', '해변']",0.0,,8.0,"['체험', '레저', '맑음', '커플', '친구', '수상', '해변', '물놀이']",2.0,"['해변', '맑음']",8.0,0,0,0,1,0
1100고지(휴게소),1.0,['경관'],3.0,"['경관', '포토', '스팟']",1.0,['겨울'],0.0,,3.0,"['경관', '도로', '명품']",3.0,0,1,0,0,1
1100고지습지,3.0,"['자연', '경관', '가을']",4.0,"['경관', '포토', '자연', '스팟']",0.0,,0.0,,2.0,"['경관', '자연']",4.0,0,1,0,0,0
1112도로,2.0,"['자연', '경관']",2.0,"['경관', '자연']",0.0,,0.0,,2.0,"['경관', '자연']",2.0,1,1,0,0,1
5.16도로숲터널,3.0,"['자연', '경관', '맑음']",5.0,"['경관', '포토', '자연', '맑음', '스팟']",0.0,,1.0,['맑음'],5.0,"['경관', '맑음', '자연', '도로', '명품']",5.0,0,1,0,0,1
513텐동,1.0,['동반'],1.0,['동반'],4.0,"['카페', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",4.0,0,0,1,0,0
9.81 파크,3.0,"['친구', '동반', '커플']",5.0,"['커플', '친구', '관광지', '관광', '동반']",4.0,"['관광지', '관광', '동반', '테마']",5.0,"['관광', '커플', '친구', '관광지', '동반']",2.0,"['관광', '동반']",5.0,0,1,0,1,0
Cafe 몽스파,1.0,['동반'],3.0,"['관광지', '관광', '동반']",5.0,"['카페', '관광지', '식당', '관광', '동반']",3.0,"['관광', '관광지', '동반']",4.0,"['관광', '식당', '카페', '동반']",5.0,0,0,1,0,0
M1971 요트투어,1.0,['경관'],8.0,"['경관', '포토', '스팟', '휴식', '힐링', '관광지', '관광', '무장애']",3.0,"['관광지', '관광', '무장애']",6.0,"['체험', '레저', '관광', '수상', '관광지', '무장애']",2.0,"['관광', '경관']",8.0,0,1,0,0,0
SM 디지털아트 뮤지엄,2.0,"['친구', '커플']",7.0,"['커플', '친구', '부모', '어린이', '관광지', '관광', '사계절']",6.0,"['실내', '관광지', '관광', '문화', '사계절', '어린이']",5.0,"['관광', '어린이', '커플', '친구', '관광지']",3.0,"['문화', '관광', '화관']",7.0,0,1,0,0,0
minagrooming(미나그루밍),1.0,['동반'],1.0,['동반'],1.0,['동반'],1.0,['동반'],1.0,['동반'],1.0,1,1,1,1,1
가마오름,6.0,"['도보', '걷기', '자연', '등산', '경관', '오름']",2.0,"['경관', '자연']",0.0,,0.0,,2.0,"['경관', '자연']",6.0,1,0,0,0,0
가마오름 진지동굴,3.0,"['도보', '오름', '친구']",3.0,"['친구', '어린이', '관광']",3.0,"['관광', '문화', '어린이']",3.0,"['관광', '어린이', '친구']",6.0,"['문화', '유적지', '관광', '역사', '유적', '화관']",6.0,0,0,0,0,1
가메오름,7.0,"['도보', '걷기', '자연', '등산', '경관', '오름', '맑음']",3.0,"['경관', '자연', '맑음']",0.0,,1.0,['맑음'],3.0,"['경관', '맑음', '자연']",7.0,1,0,0,0,0
가뫼물,2.0,"['자연', '경관']",4.0,"['경관', '자연', '어린이', '관광']",3.0,"['관광', '어린이', '겨울']",3.0,"['체험', '관광', '어린이']",3.0,"['관광', '경관', '자연']",4.0,0,1,0,0,0
가문이오름(감은이오름),8.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",5.0,"['경관', '커플', '자연', '맑음', '친구']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",8.0,1,0,0,0,0
가세오름,6.0,"['도보', '걷기', '자연', '등산', '경관', '오름']",2.0,"['경관', '자연']",0.0,,0.0,,2.0,"['경관', '자연']",6.0,1,0,0,0,0
가파도,6.0,"['자연', '경관', '친구', '맑음', '커플', '봄']",9.0,"['경관', '포토', '커플', '자연', '맑음', '스팟', '휴식', '친구', '힐링']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",9.0,0,1,0,0,0
가파초등학교 마라분교장,2.0,"['경관', '맑음']",5.0,"['경관', '포토', '맑음', '스팟', '사계절']",1.0,['사계절'],1.0,['맑음'],2.0,"['경관', '맑음']",5.0,0,1,0,0,0
각시바우오름,7.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",5.0,"['경관', '커플', '자연', '맑음', '친구']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",7.0,1,0,0,0,0
감귤박물관 월라봉 산책로 - 생이소리길,5.0,"['도보', '자연', '경관', '맑음', '커플']",9.0,"['경관', '커플', '자연', '맑음', '휴식', '힐링', '부모', '관광지', '관광']",5.0,"['실내', '관광지', '관광', '박물관', '문화']",5.0,"['체험', '관광', '맑음', '커플', '관광지']",6.0,"['문화', '관광', '경관', '맑음', '자연', '화관']",9.0,0,1,0,0,0
감귤상웨빵 체험,2.0,"['친구', '커플']",4.0,"['커플', '친구', '관광지', '관광']",3.0,"['실내', '관광지', '관광']",5.0,"['체험', '관광', '커플', '친구', '관광지']",1.0,['관광'],5.0,0,0,0,1,0
감수굴 밭담길,6.0,"['도보', '걷기', '자연', '등산', '경관', '맑음']",3.0,"['경관', '자연', '맑음']",0.0,,1.0,['맑음'],3.0,"['경관', '맑음', '자연']",6.0,1,0,0,0,0
갑자기 히어로즈 벽화길,4.0,"['도보', '경관', '친구', '커플']",6.0,"['경관', '포토', '커플', '스팟', '친구', '어린이']",2.0,"['테마', '어린이']",3.0,"['어린이', '커플', '친구']",1.0,['경관'],6.0,0,1,0,0,0
강병대교회,1.0,['가을'],1.0,['관광'],3.0,"['실내', '관광', '문화']",1.0,['관광'],6.0,"['문화', '유적지', '관광', '역사', '유적', '화관']",6.0,0,0,0,0,1
강정어촌계,1.0,['경관'],5.0,"['경관', '포토', '스팟', '해변', '관광']",1.0,['관광'],3.0,"['체험', '관광', '해변']",3.0,"['관광', '해변', '경관']",5.0,0,1,0,0,0
강정천유원지,3.0,"['자연', '경관', '맑음']",4.0,"['경관', '자연', '맑음', '여름']",0.0,,6.0,"['체험', '레저', '맑음', '수상', '물놀이', '여름']",3.0,"['경관', '맑음', '자연']",6.0,0,0,0,1,0
개떼목장,1.0,['동반'],1.0,['동반'],2.0,"['카페', '동반']",2.0,"['애견', '동반']",2.0,"['카페', '동반']",2.0,0,0,1,1,1
개미남,1.0,['동반'],1.0,['동반'],1.0,['동반'],2.0,"['애견', '동반']",1.0,['동반'],2.0,0,0,0,1,0
개오름,7.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",5.0,"['경관', '커플', '자연', '맑음', '친구']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",7.0,1,0,0,0,0
개오리오름,7.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",5.0,"['경관', '커플', '자연', '맑음', '친구']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",7.0,1,0,0,0,0
개인공간,1.0,['동반'],1.0,['동반'],1.0,['동반'],2.0,"['애견', '동반']",1.0,['동반'],2.0,0,0,0,1,0
거린오름 (북오름),6.0,"['도보', '걷기', '자연', '등산', '경관', '오름']",2.0,"['경관', '자연']",0.0,,0.0,,2.0,"['경관', '자연']",6.0,1,0,0,0,0
거문오름(UNESCO 세계자연유산),7.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",6.0,"['경관', '커플', '자연', '맑음', '친구', '부모']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",7.0,1,0,0,0,0
거믄여해안경승지,3.0,"['자연', '경관', '맑음']",6.0,"['경관', '포토', '자연', '맑음', '스팟', '해변']",0.0,,2.0,"['맑음', '해변']",4.0,"['해변', '경관', '맑음', '자연']",6.0,0,1,0,0,0
거슨새미오름,8.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",5.0,"['경관', '커플', '자연', '맑음', '친구']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",8.0,1,0,0,0,0
거친오름,7.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플']",6.0,"['경관', '커플', '자연', '맑음', '친구', '부모']",0.0,,3.0,"['맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",7.0,1,0,0,0,0
건강과성박물관,1.0,['커플'],5.0,"['커플', '관광지', '관광', '무장애', '사계절']",8.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '사계절']",4.0,"['관광', '커플', '관광지', '무장애']",3.0,"['문화', '관광', '화관']",8.0,0,0,1,0,0
걸매생태공원,4.0,"['자연', '경관', '맑음', '가을']",5.0,"['경관', '자연', '맑음', '휴식', '힐링']",0.0,,2.0,"['맑음', '물놀이']",3.0,"['경관', '맑음', '자연']",5.0,0,1,0,0,0
